49.7,37.74,62.26
49.8,37.71,62.29
49.9,37.44,62.56
50,38.2,61.8
50.1,38.3,61.7
50.2,36.85,63.15
50.3,37.58,62.42
50.4,37.17,62.83
50.5,36.76,63.24
50.6,36.95,63.05
50.7,38.24,61.76
50.8,37.81,62.19
50.9,36.74,63.26
51,37.9,62.1
51.1,37.16,62.84
51.2,36.52,63.48
51.3,36.73,63.27
51.4,36,64
51.5,36.69,63.31
51.6,37.17,62.83
51.7,35.27,64.73
51.8,36.19,63.81
51.9,36.01,63.99
52,36.1,63.9
52.1,37.11,62.89
52.2,36.11,63.89
52.3,34.94,65.06
52.4,35.62,64.38
52.5,35.4,64.6
52.6,36.1,63.9
52.7,35.43,64.57
52.8,36.17,63.83
52.9,35.07,64.93
53,35.41,64.59
53.1,34.63,65.37
53.2,35.58,64.42
53.3,35.11,64.89
53.4,34.31,65.69
53.5,34.45,65.55
53.6,34.65,65.35
53.7,34.99,65.01
53.8,34.05,65.95
53.9,33.97,66.03
54,34.26,65.74
54.1,33.87,66.13
54.2,34.55,65.45
54.3,34.77,65.23
54.4,33.72,66.28
54.5,34.44,65.56
54.6,34.63,65.37
54.7,34.11,65.89
54.8,33.95,66.05
54.9,33.74,66.26
55,34.73,65.27
55.1,33.82,66.18
55.2,32.94,67.06
55.3,33.27,66.73
55.4,33.19,66.81
55.5,33.13,66.87
55.6,33.56,66.44
55.7,33.21,66.79
55.8,32.9,67.1
55.9,32.85,67.15
56,33.21,66.79
56.1,32.64,67.36
56.2,32.77,67.23
56.3,32.84,67.16
56.4,32.69,67.31
56.5,32.79,67.21
56.6,31.99,68.01
56.7,31.92,68.08
56.8,32.26,67.74
56.9,31.44,68.56
57,32.68,67.32
57.1,32.04,67.96
57.2,32.46,67.54
57.3,32.12,67.88
57.4,31.82,68.18
57.5,32.51,67.49
57.6,31.78,68.22
57.7,31.34,68.66
57.8,31.59,68.41
57.9,31.95,68.05
58,31.71,68.29
58.1,30.76,69.24
58.2,30.65,69.35
58.3,31.18,68.82
58.4,31.53,68.47
58.5,30.47,69.53
58.6,31.65,68.35
58.7,31.17,68.83
58.8,31.12,68.88
58.9,30.92,69.08
59,30.38,69.62
59.1,30.16,69.84
59.2,31.23,68.77
59.3,30.44,69.56
59.4,30.07,69.93
59.5,29.64,70.36
59.6,30.97,69.03
59.7,30.02,69.98
59.8,29.88,70.12
59.9,30.02,69.98
60,29.85,70.15
60.1,29.67,70.33
60.2,29.59,70.41
60.3,29.61,70.39
